,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2
1,0.641146084,0.943835403,0.621031119,0.720888455,0.936338569,0.884974923,0.907590067,0.962602757,3.1,4.3,3.6,4.7,4.4,4.5,4.9,4.8,0.860167737,0.97351286,3017858529,Hamilton68
2,0.958167115,0.939152273,0.93005489,0.843611525,0.309633279,0.764001561,0.957963941,0.977876235,4.7,4.9,4.2,1.5,3.8,4.8,4.9,4.9,0.973624716,0.971304162,1051439830717090000,Hamilton68
3,0.892355246,0.873148792,0.949619974,0.834573883,0.947254287,0.878020781,0.940158836,0.87366504,4.7,4.7,4.2,4.7,4.4,4.7,4.7,4.4,0.944832576,0.945985488,2731676958,Hamilton68
4,0.923867309,0.845413118,0.85196422,0.852242833,0.925790676,0.319438573,0.952678222,0.845781281,4.3,4.8,4.3,4.6,1.6,4.8,4.7,4.2,0.956753229,0.936923076,1054407936821350000,Hamilton68
5,0.740522658,0.835598072,0.966274321,0.889639416,0.612113315,0.884974923,0.959614262,0.962602757,4.8,4.5,4.4,3.1,4.4,4.8,4.7,4.8,0.89641407,0.933802194,1050524967811590000,Hamilton68
6,0.740522658,0.835598072,0.966274321,0.889639416,0.612113315,0.884974923,0.959614262,0.962602757,4.8,4.5,4.4,3.1,4.4,4.8,4.7,4.8,0.89641407,0.933802194,1050524967811590000,Hamilton68
7,0.386842593,0.829499873,0.621031119,0.23261518,0.493368203,0.726110191,0.17904829,0.927713378,3.1,3.7,1.2,2.5,3.6,0.9,4.7,4.6,0.740529101,0.931876753,860528578886221000,Hamilton68
8,0.386842593,0.829499873,0.621031119,0.23261518,0.493368203,0.726110191,0.17904829,0.927713378,3.1,3.7,1.2,2.5,3.6,0.9,4.7,4.6,0.740529101,0.931876753,860528578886221000,Hamilton68
9,0.386842593,0.829499873,0.621031119,0.23261518,0.493368203,0.726110191,0.17904829,0.927713378,3.1,3.7,1.2,2.5,3.6,0.9,4.7,4.6,0.740529101,0.931876753,860528578886221000,Hamilton68
10,0.904270665,0.812234051,0.741201347,0.815250092,0.917003748,0.655211755,0.734718203,0.904038251,3.7,4.7,4.1,4.6,3.3,3.7,4.6,4.5,0.949115125,0.9264584,932225313119129000,Hamilton68
11,0.565053422,0.812234051,0.925376552,0.91362236,0.921509626,0.933374264,0.928799391,0.904038251,4.6,4.1,4.6,4.6,4.7,4.6,4.6,4.5,0.826453204,0.9264584,916882561321840000,Hamilton68
12,0.565053422,0.812234051,0.925376552,0.91362236,0.921509626,0.933374264,0.928799391,0.904038251,4.6,4.1,4.6,4.6,4.7,4.6,4.6,4.5,0.826453204,0.9264584,916882561321840000,Hamilton68
13,0.511451548,0.793671751,0.653282836,0.55290049,0.833819379,0.41173063,0.288448768,0.889764823,3.3,4,2.8,4.2,2.1,1.4,4.6,4.4,0.800598225,0.920645783,1018134201680510000,Hamilton68
14,0.590677715,0.773904828,0.791067057,0.536297157,0.598331807,0.655211755,0.137911216,0.937418765,4,4.2,2.7,3,3.3,0.7,4.6,4.7,0.838353133,0.914416186,713297716067983000,Hamilton68
15,0.786912482,0.773904828,0.949619974,0.860476554,0.8717529,0.624536584,0.952678222,0.916636687,4.7,4.6,4.3,4.4,3.1,4.8,4.6,4.6,0.911222953,0.914416186,902442397010763000,Hamilton68
16,0.590677715,0.753052064,0.604473547,0.469446866,0.463074603,0.477401077,0.384849463,0.716869234,3,4.2,2.3,2.3,2.4,1.9,4.5,3.6,0.838353133,0.907746547,3244284314,Hamilton68
17,0.892355246,0.753052064,0.876473536,0.907871649,0.8717529,0.854960709,0.598403055,0.7614882,4.4,4.7,4.5,4.4,4.3,3,4.5,3.8,0.944832576,0.907746547,532074109,Hamilton68
18,0.938706315,0.753052064,0.823570814,0.927957504,0.917003748,0.775796169,0.702359505,0.667547437,4.1,4.8,4.6,4.6,3.9,3.5,4.5,3.3,0.963289157,0.907746547,254979327,Hamilton68
19,0.944674263,0.753052064,0.915147612,0.936412222,0.246102383,0.948145863,0.888200296,0.977876235,4.6,4.8,4.7,1.2,4.7,4.4,4.5,4.9,0.966190224,0.907746547,1019988858824470000,Hamilton68
20,0.828458504,0.753052064,0.968476017,0.91362236,0.884728376,0.909435968,0.946764797,0.824524594,4.8,4.6,4.6,4.4,4.5,4.7,4.5,4.1,0.924093996,0.907746547,906104405056991000,Hamilton68
21,0.565053422,0.731245128,0.93005489,0.91362236,0.921509626,0.933374264,0.920152118,0.910537248,4.7,4.1,4.6,4.6,4.7,4.6,4.5,4.6,0.826453204,0.90061363,916882561321840000,Hamilton68
22,0.828458504,0.731245128,0.876473536,0.678746199,0.889378388,0.884974923,0.868358773,0.577046617,4.4,4.6,3.4,4.4,4.4,4.3,4.5,2.9,0.924093996,0.90061363,1079787258,Hamilton68
23,0.846934867,0.731245128,0.81320069,0.868322344,0.224270463,0.764001561,0.414585965,0.970100821,4.1,4.6,4.3,1.1,3.8,2.1,4.5,4.9,0.929866945,0.90061363,3313761045,Hamilton68
24,0.923867309,0.708611687,0.920412076,0.815250092,0.40351138,0.924598762,0.932791332,0.845781281,4.6,4.8,4.1,2,4.6,4.7,4.5,4.2,0.956753229,0.892994217,1037765443895740000,Hamilton68
25,0.923867309,0.708611687,0.897413618,0.633476136,0.943240433,0.878020781,0.921770235,0.854634979,4.5,4.8,3.2,4.7,4.4,4.6,4.5,4.3,0.956753229,0.892994217,1050452963041390000,Hamilton68
26,0.808401005,0.708611687,0.713541769,0.940284276,0.950207036,0.063717928,0.957963941,0.864884946,3.6,4.6,4.7,4.8,0.3,4.8,4.5,4.3,0.917887814,0.892994217,1052455046288360000,Hamilton68
27,0.590677715,0.685259263,0.668916287,0.918476502,0.681971276,0.164926807,0.170117236,0.732290532,3.3,4.2,4.6,3.4,0.8,0.9,4.4,3.7,0.838353133,0.884865341,1129088815,Hamilton68
28,0.878874155,0.685259263,0.868717243,0.783067857,0.40351138,0.937397659,0.853528611,0.747168119,4.3,4.7,3.9,2,4.7,4.3,4.4,3.7,0.940212305,0.884865341,1574126809,Hamilton68
29,0.828458504,0.685259263,0.860551414,0.720888455,0.76636414,0.36433814,0.553012983,0.87366504,4.3,4.6,3.6,3.8,1.8,2.8,4.4,4.4,0.924093996,0.884865341,751739681935597000,Hamilton68
30,0.203165259,0.685259263,0.247652714,0.617796595,0.523710577,0.427948527,0.491226002,0.910537248,1.2,3.2,3.1,2.6,2.1,2.5,4.4,4.6,0.631054837,0.884865341,1027866495852970000,Hamilton68
31,0.666276782,0.685259263,0.860551414,0.815250092,0.890777784,0.726110191,0.940158836,0.650178254,4.3,4.4,4.1,4.5,3.6,4.7,4.4,3.3,0.8701192,0.884865341,902651875924656000,Hamilton68
32,0.716143502,0.685259263,0.823570814,0.51961296,0.568829433,0.576660718,0.642166361,0.910537248,4.1,4.4,2.6,2.8,2.9,3.2,4.4,4.6,0.888218495,0.884865341,932225313119129000,Hamilton68
33,0.386842593,0.685259263,0.260883085,0.55290049,0.627138728,0.608797244,0.642166361,0.747168119,1.3,3.7,2.8,3.1,3,3.2,4.4,3.7,0.740529101,0.884865341,1010986331223330000,Hamilton68
34,0.075832357,0.661263571,0.349176123,0.834573883,0.598331807,0.08670852,0.670125997,0.538941032,1.7,2.3,4.2,3,0.4,3.4,4.4,2.7,0.463592191,0.876204548,1023492425275320000,Hamilton68
35,0.786912482,0.661263571,0.779298411,0.7594616,0.694992981,0.460818772,0.188341809,0.927713378,3.9,4.6,3.8,3.5,2.3,0.9,4.4,4.6,0.911222953,0.876204548,1018134201680510000,Hamilton68
36,0.452279002,0.661263571,0.604473547,0.387667639,0.707710027,0.751784998,0.865405966,0.831966186,3,3.9,1.9,3.5,3.8,4.3,4.4,4.2,0.771954233,0.876204548,1043237859296200000,Hamilton68
37,0.286868665,0.636663704,0.349176123,0.469446866,0.433051152,0.204946688,0.137911216,0.813060067,1.7,3.4,2.3,2.2,1,0.7,4.3,4.1,0.688417762,0.866990193,998183508433625000,Hamilton68
38,0.286868665,0.636663704,0.349176123,0.469446866,0.433051152,0.204946688,0.137911216,0.813060067,1.7,3.4,2.3,2.2,1,0.7,4.3,4.1,0.688417762,0.866990193,998183508433625000,Hamilton68
39,0.286868665,0.636663704,0.349176123,0.469446866,0.433051152,0.204946688,0.137911216,0.813060067,1.7,3.4,2.3,2.2,1,0.7,4.3,4.1,0.688417762,0.866990193,998183508433625000,Hamilton68
40,0.180362038,0.636663704,0.349176123,0.436280911,0.47820136,0.319438573,0.288448768,0.788421501,1.7,3.1,2.2,2.4,1.6,1.4,4.3,3.9,0.610975721,0.866990193,998183508433625000,Hamilton68
41,0.180362038,0.636663704,0.349176123,0.436280911,0.47820136,0.319438573,0.288448768,0.788421501,1.7,3.1,2.2,2.4,1.6,1.4,4.3,3.9,0.610975721,0.866990193,998183508433625000,Hamilton68
42,0.740522658,0.636663704,0.958744005,0.868322344,0.508547261,0.897852531,0.932791332,0.684472733,4.8,4.5,4.3,2.5,4.5,4.7,4.3,3.4,0.89641407,0.866990193,1033826073031660000,Hamilton68
43,0.863746418,0.636663704,0.621031119,0.734158617,0.463074603,0.494033347,0.61320476,0.881952456,3.1,4.7,3.7,2.3,2.5,3.1,4.3,4.4,0.935231612,0.866990193,1310079828,Hamilton68
