,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2,bot
1589,0.004775576,0.009037049,0.11728456,0.112647015,0.224270463,0.110254451,0.251826683,0.164984352,0.6,0.6,0.6,1.1,0.6,1.3,0.8,0.8,0.116795374,0.158817464,2567243088,Random,FALSE
1590,0.004268306,0.016452305,0.034080667,0.083268406,0.257541174,0.443264812,0.670125997,0.404932889,0.2,0.5,0.4,1.3,2.2,3.4,1.1,2,0.108277007,0.221795688,1002187807840870000,Random,FALSE
1591,0.006826175,0.026940289,0.140754288,0.403675302,0.203851584,0.239414795,0.229193749,0.21207915,0.7,0.7,2,1,1.2,1.1,1.4,1.1,0.145897657,0.283782475,822149742171922000,Random,FALSE
1592,0.003831756,0.007183846,0.058082395,0.209571931,0.066761329,0.04955679,0.079246657,0.333118388,0.3,0.5,1,0.3,0.2,0.4,0.7,1.7,0.100309357,0.13802619,3505877293,Random,FALSE
1593,0.075832357,0.067479061,0.466511556,0.585720438,0.627138728,0.670095629,0.670125997,0.144775381,2.3,2.3,2.9,3.1,3.4,3.4,2.2,0.7,0.463592191,0.433677434,32273458,Random,FALSE
1594,0.085904092,0.05430461,0.621031119,0.91362236,0.911435918,0.91982315,0.868358773,0.283739797,3.1,2.4,4.6,4.6,4.6,4.3,2,1.4,0.484864583,0.39374646,704582051,Random,FALSE
1595,0.482700521,0.504016168,0.699067514,0.469446866,0.864809695,0.36433814,0.769352384,0.956607926,3.5,3.9,2.3,4.3,1.8,3.8,4.1,4.8,0.786626298,0.811958128,806957594401091000,Random,TRUE
1596,0.319258204,0.145776203,0.440573491,0.720888455,0.418207933,0.056219498,0.905377098,0.700922407,2.2,3.5,3.6,2.1,0.3,4.5,2.9,3.5,0.706420424,0.576808656,859972001452048000,Random,FALSE
1597,0.001634715,0.003353677,0.050901079,0.142317413,0.167245247,0.08670852,0.105016524,0.043516718,0.3,0.2,0.7,0.8,0.4,0.5,0.4,0.2,0.041789835,0.076513107,19346439,Random,FALSE
1598,0.006043447,0.007183846,0.031856561,0.270370074,0.059581537,0.059858869,0.088777716,0.126666309,0.2,0.7,1.4,0.3,0.3,0.4,0.7,0.6,0.135582577,0.13802619,3014604768,Random,FALSE
1599,0.002618313,0.002571044,0.713541769,0.126741841,0.553878927,0.787165524,0.670125997,0.225281737,3.6,0.4,0.6,2.8,3.9,3.4,0.3,1.1,0.073433262,0.056244912,854537838754504000,Random,FALSE
1600,0.03218322,0.116935967,0.103588479,0.452811516,0.224270463,0.443264812,0.53764464,0.614256976,0.5,1.6,2.3,1.1,2.2,2.7,2.7,3.1,0.322306022,0.536176148,1040149774169710000,Random,FALSE
1601,0.004268306,0.030450445,0.044565652,0.326306901,0.15100759,0.046512789,0.066695714,0.072487975,0.2,0.5,1.6,0.8,0.2,0.3,1.5,0.4,0.108277007,0.300816712,1030790313630200000,Random,FALSE
1602,0.012788431,0.043420869,0.058082395,0.050480714,0.059581537,0.067807834,0.188341809,0.558079309,0.3,1,0.3,0.3,0.3,0.9,1.8,2.8,0.207427967,0.355186217,1022732046488220000,Random,FALSE
1603,0.001554351,0.002100996,0.668916287,0.094076993,0.158958342,0.870707632,0.088777716,0.103156614,3.3,0.2,0.5,0.8,4.4,0.4,0.2,0.5,0.038503445,0.04110674,796594200,Random,FALSE
1604,0.001945784,0.014565852,0.103588479,0.209571931,0.224270463,0.110254451,0.079246657,0.126666309,0.5,0.3,1,1.1,0.6,0.4,1,0.6,0.053331281,0.207905573,3089526227,Random,FALSE
1605,0.666276782,0.475301389,0.946174529,0.902116699,0.66865868,0.846506708,0.940158836,0.889764823,4.7,4.4,4.5,3.3,4.2,4.7,4,4.4,0.8701192,0.799058441,1016799534792480000,Random,FALSE
1606,0.002618313,0.011448498,0.27456232,0.134339039,0.175873829,0.131429759,0.341868544,0.043516718,1.4,0.4,0.7,0.9,0.7,1.7,0.9,0.2,0.073433262,0.182079031,752128783935803000,Random,FALSE
1607,0.004775576,0.006431293,0.036454205,0.134339039,0.109970068,0.09212893,0.056011644,0.067460107,0.2,0.6,0.7,0.5,0.5,0.3,0.6,0.3,0.116795374,0.128515834,886586245119442000,Random,FALSE
1608,0.538776111,0.104603479,0.955893562,0.403675302,0.66865868,0.948145863,0.875284365,0.788421501,4.8,4.1,2,3.3,4.7,4.4,2.6,3.9,0.813871734,0.515643331,992677979472977000,Random,FALSE
1609,0.004775576,0.008048111,0.054380119,0.134339039,0.050156812,0.043647178,0.06293923,0.096222209,0.3,0.6,0.7,0.3,0.2,0.3,0.7,0.5,0.116795374,0.148120708,822603596239949000,Random,FALSE
1610,0.075832357,0.083851147,0.553489451,0.387667639,0.281436837,0.624536584,0.074839956,0.732290532,2.8,2.3,1.9,1.4,3.1,0.4,2.4,3.7,0.463592191,0.474488541,803467130985398000,Random,FALSE
1611,0.008750694,0.034358494,0.149407927,0.283778917,0.088351497,0.116958291,0.301336415,0.7614882,0.7,0.8,1.4,0.4,0.6,1.5,1.6,3.8,0.168473166,0.318418856,977808016551456000,Random,FALSE
1612,0.001725458,0.002198441,0.07065346,0.23261518,0.098634555,0.052788974,0.099331419,0.046849714,0.4,0.2,1.2,0.5,0.3,0.5,0.2,0.2,0.045343501,0.044478832,734200693,Random,FALSE
1613,0.565053422,0.585642724,0.791067057,0.617796595,0.167245247,0.216010314,0.899931538,0.965276172,4,4.1,3.1,0.8,1.1,4.5,4.2,4.8,0.826453204,0.846820268,740137975753936000,Random,TRUE
1614,0.001828421,0.001935846,0.11728456,0.106126161,0.083581381,0.184096135,0.105016524,0.029986279,0.6,0.2,0.5,0.4,0.9,0.5,0.2,0.1,0.049183848,0.035082643,1855867170,Random,FALSE
1615,0.007724055,0.011448498,0.066206203,0.326306901,0.194173786,0.184096135,0.123822034,0.072487975,0.3,0.8,1.6,1,0.9,0.6,0.9,0.4,0.156855103,0.182079031,3695629573,Random,FALSE
1616,0.001418792,0.003353677,0.085697796,0.142317413,0.079046475,0.251749932,0.093921781,0.025802286,0.4,0.2,0.7,0.4,1.3,0.5,0.4,0.1,0.03265991,0.076513107,311094810,Random,FALSE
1617,0.011259347,0.269683227,0.11728456,0.311763277,0.1160555,0.072140034,0.355948984,0.423685421,0.6,1,1.6,0.6,0.4,1.8,3.5,2.1,0.193749479,0.690801916,583005149,Random,FALSE
1618,0.001218379,0.002571044,0.062020197,0.073600737,0.06307622,0.072140034,0.074839956,0.05042453,0.3,0.1,0.4,0.3,0.4,0.4,0.3,0.3,0.023437101,0.056244912,164957512,Random,FALSE
1619,0.003134129,0.003116818,0.188451281,0.142317413,0.05312993,0.072140034,0.153323011,0.037517839,0.9,0.4,0.7,0.3,0.4,0.8,0.4,0.2,0.085924,0.070892573,3189136338,Random,FALSE
